field,#,sea,status,HC type,PL/BAA,operator,HPHT,reservoir,development,group,formation,lithology,recovery,FactPageUrl,norwegian share,rec. oil,rec. gas,rec. ass. liq.,rec. OE,rem. oil,rem. gas,rem. ass. liq.,rem. OE,STOIIP,GIIP,in-place ass. liquid,in-place ass. gas,in-place free gas,in-place OE,in-place liq./OE ratio,in-place free gas/OE ratio,RF oil,RF liq.,RF gas,RF OE,maturity oil,maturity gas,maturity liq.,maturity OE,t10,t25,t50,t75,t90,t95,t100,prod. age,start year,rem. OE prod. years,est. total lifetime,est. rem. lifetime,est. P&A year,peak year,peak OE YPR,peak oil YPR,peak gas YPR,well num,prod. num,inj. num,obs. num,subsea index,lat,lon,depth min,depth mean,depth median,depth max,water depth,depth,p_h,p0,grad_p0,p0 checked,T0,GOR,oil FVF,gas FVF,oil PV0,gas PV0,HCPV0,gas PV0/HC PV0,rec. oil PV,rec. gas PV,rec. HCPV,CO2 SC,H2 SC,CO2 SC/well num,CO2 density RC,injectivity ind.,total score
TROLL,109,NORTH,producing,gas/oil,TROLL UNIT,Equinor Energy AS,False,"Troll contains very large amounts of gas resources and is also one of the largest oil producing fields on the Norwegian continental shelf. The field has two main structures: Troll Øst and Troll Vest. About two-thirds of the recoverable gas reserves lie in Troll Øst. The gas and oil reservoirs in the Troll Øst and Troll Vest structures consist primarily of shallow marine sandstone of Late Jurassic age in the Sognefjord Formation. Part of the reservoir is also in the underlying Fensfjord Formation of Middle Jurassic age. The field consists of three relatively large, rotated fault blocks. The eastern fault block constitutes Troll Øst. The reservoir depth at Troll Øst is 1330 metres. Pressure communication between Troll Øst and Troll Vest has been proven. Originally, the oil column in Troll Øst was mapped to be 0-4 metres thick. A well drilled in 2007 proved an oil column of 6-9 metres in the Fensfjord Formation in the northern segment of Troll Øst. The Troll Vest oil province originally had a 22 to 26-metre-thick oil column under a small gas cap, located at a depth of 1360 metres. The Troll Vest gas province originally had an oil column of 12-14 metres under a gas column of up to 200 metres. The oil column is now reduced to a thickness of only 1 to 5 metres. A significant volume of residual oil is encountered directly below the Troll Vest oil column.","Troll is a field in the northern part of the North Sea. The water depth is 300-330 metres. Troll was discovered in 1979, and the initial plan for development and operation (PDO) was approved in 1986. The plan was updated in 1990 and involved the transfer of gas processing to the Kollsnes terminal. The production started in 1995. A phased development was pursued for the Troll field, with Phase I recovering gas reserves in Troll Øst and Phase II focusing on the oil reserves in Troll Vest. Troll Phase I has been developed with Troll A, which is a fixed wellhead and compression platform with a concrete substructure. Troll A receives power from shore. The gas compression capacity at Troll A was increased in 2004/2005, and again in 2015. Troll Phase II was developed with Troll B, a floating concrete accommodation and production platform, and Troll C, a semi-submersible accommodation and production steel platform. The oil is produced from several subsea templates tied-back to Troll B and Troll C by flowlines. The production from Troll C started in 1999. The Troll C platform is also utilised for production from the Fram field. Several PDO amendments were approved in connection with various subsea templates at Troll Vest. A PDO for Troll Phase III (gas production from Troll Vest) was approved in 2018 and the production started in 2021. An amended PDO for power from shore to Troll Vest was approved in 2021, and both Troll B and Troll C have been operated partly with power from shore since 2024.",Viking,"Sognefjord, Fensfjord",clastic,"The gas in Troll Øst is recovered by pressure depletion through 39 wells drilled from Troll A. The oil in Troll Vest is produced from long horizontal wells, which penetrate the thin oil zone directly above the oil-water contact. The recovery strategy is based primarily on pressure depletion, but this is accompanied by a simultaneous expansion of both the gas cap above the oil zone and the underlying water zone. Some gas is also reinjected. Produced water was reinjected into the northern part of the Troll Vest oil province from 2000 to 2016.",https://factpages.sodir.no/field/pageview/all/46437,1.0,299.6,1473.82,42.54,1815.95,3.3,559.18,13.83,576.32,663.5,1662.8,85.86,37.8,1625.0,2449.96,0.31,0.663,0.452,0.457,0.8863,0.7412,0.989,0.621,0.95,0.683,10.8483,16.9321,28.5128,,,,70.0,36.0,1990.083,,,34.0,2060.0,2003.0,48.502,22.333,26.169,678.0,667.0,6.0,5.0,0.94,60.81327483923304,3.5698217507374634,1407.4,1554.3,1557.5,2131.0,329.8,1557.5,159.6,159.4,101.7,True,58.1,57.0,1.129419848701665,0.006503644937750905,749.37,10568.42,11317.79,0.93,342.15,9367.3,9709.45,6334.07,103.96,9.34,652.0,9707.0,0.0
TRYM,110,NORTH,producing,gas,147,DNO Norge AS,False,Trym produces gas and condensate from Middle Jurassic sandstone of the Sandnes Formation. The reservoir is at a depth of 3400 metres and has good quality.,"Trym is a field in the southern part of the Norwegian sector in the North Sea, three kilometres from the border to the Danish sector. The water depth is 65 metres. Trym was discovered in 1990, and the plan for development and operation (PDO) was approved in 2010. The field is developed with a subsea template including two horizontal production wells, tied to the Harald facility in the Danish sector. The production started in 2011.",Vestland,Sandnes,clastic,"The field is produced by pressure depletion. A low-pressure project was started in 2017 and is expected to accelerate production, thus increasing final recovery.",https://factpages.sodir.no/field/pageview/all/18081500,1.0,1.74,4.19,0.0,5.93,0.06,0.46,0.0,0.52,0.0,5.8,3.6,0.0,5.8,9.4,0.38,0.617,,0.483,0.7224,0.6309,,0.89,0.966,0.912,0.7486,1.7243,3.9166,6.3805,9.5167,,,9.5,2011.167,,14.533,5.033,2031.033,2012.0,1.012,0.369,0.643,3.0,2.0,0.0,1.0,1.0,56.38189533333334,4.237491333333334,3414.0,3494.7,3457.0,3613.0,65.3,3457.0,352.9,500.0,144.3,True,119.7,,0.0,0.003279520571398244,0.0,19.02,19.02,1.0,0.0,13.74,13.74,10.5,0.34,3.5,764.0,2341.0,0.0
TUNE,111,NORTH,producing,gas/oil,190,Equinor Energy AS,False,Tune produces gas and some condensate mainly from Middle Jurassic sandstone in the Tarbert Formation (Brent Group). The reservoir is at a depth of 3400 metres and divided into several inclined fault blocks . Another reservoir is in the underlying Statfjord Formation.,"Tune is a field in the northern part of the North Sea, ten kilometres west of the Oseberg field. The water depth is 95 metres. Tune was discovered in 1995, and the plan for development and operation (PDO) was approved in 1999. The field has been developed with a subsea template and a satellite well tied to the Oseberg Field Centre. Production started in 2002. A PDO exemption was granted for the development of the northern part of the field in 2004. A similar exemption was granted for the southern part of the field in 2005.",Brent,Tarbert,clastic,The field is produced by pressure depletion. Low-pressure production has been implemented.,https://factpages.sodir.no/field/pageview/all/853376,1.0,3.51,19.22,0.27,23.0,0.01,0.05,0.0,0.05,1.8,22.7,11.4,0.4,22.3,36.3,0.36,0.614,1.95,0.286,0.8467,0.6336,0.997,0.997,0.997,0.998,0.7054,1.4642,2.9302,5.358,9.5132,12.5435,,17.75,2002.917,inf,19.549,0.0,2026.0,2004.0,4.976,1.004,3.972,5.0,5.0,0.0,0.0,1.0,60.46552320000001,2.6443068,3414.0,3500.7,3516.0,3553.0,92.8,3516.0,358.9,497.3,141.2,True,121.6,222.2,1.6139720777381354,0.003306901856658033,2.91,73.74,76.65,0.96,0.83,62.44,63.27,47.94,1.55,9.59,758.0,1560.0,0.0
TYRIHANS,112,NORWEGIAN,producing,gas/oil,TYRIHANS UNIT,Equinor Energy AS,False,Tyrihans produces oil and gas from two deposits: Tyrihans South and Tyrihans North. Tyrihans South has an oil column with a condensate-rich gas cap. Tyrihans North contains gas and condensate with a thin oil zone. The main reservoir in both deposits is in the Middle Jurassic Garn Formation at a depth of 3500 metres. The reservoirs are homogenous and of good quality. Oil is also produced from reservoirs in the Middle Jurassic Ile Formation.,"Tyrihans is a field in the Norwegian Sea, 25 kilometres southeast of the Åsgard field. The water depth is 270 metres. Tyrihans was discovered in 1983, and the plan for development and operation (PDO) was approved in 2006. The field is developed with five subsea templates tied-back to the Kristin platform, four templates for production and gas injection and one template for seawater injection. Gas for injection and gas lift is supplied from the Åsgard B platform. The production started in 2009.",Fangst,"Garn, Ile",clastic,Tyrihans has earlier been produced with pressure support by water and gas injection. The main recovery strategy now is pressure depletion and gas cap expansion.,https://factpages.sodir.no/field/pageview/all/3960848,1.0,36.26,46.93,13.74,96.94,1.77,14.39,4.33,20.49,75.77,75.27,19.2,18.83,56.44,189.07,0.5,0.299,0.479,0.526,0.6235,0.5127,0.951,0.693,0.878,0.789,2.0764,4.9533,9.8797,15.7176,,,,16.417,2009.583,4.8,32.476,16.06,2042.06,2017.0,5.691,2.522,3.169,40.0,26.0,3.0,11.0,1.0,64.83384494999999,7.03867645,3616.0,3703.7,3667.0,3991.1,278.2,3667.0,374.3,379.5,103.2,True,126.5,248.5,1.6890903198166571,0.004013999625746744,127.98,226.55,354.53,0.64,67.38,141.25,208.63,136.53,4.06,3.41,654.0,3752.0,0.0
TYRVING,113,NORTH,producing,oil,TYRVING UNIT,Aker BP ASA,False,"The reservoirs contain oil in sandstone of Paleocene age in the Heimdal Formation, at depths of 2140 and 2180 metres. The reservoir properties are excellent.","Tyrving is a field in the central North Sea, 20 kilometres east of the Alvheim field. Tyrving consists of three discoveries: Trine, Trell and Trell North. The water depth is 120 metres. The plan for development and operation (PDO) was approved in June 2023. The development concept includes three production wells, one in each discovery, tied to the Alvheim production, storage and offloading vessel (FPSO). The production started in 2024.",Rogaland,Heimdal,clastic,The drainage strategy is pressure depletion with aquifer support. ,https://factpages.sodir.no/field/pageview/all/42002471,1.0,5.61,0.14,0.02,5.76,3.9,0.08,0.0,3.99,13.64,0.48,0.0,0.48,0.0,14.6,0.93,0.0,0.411,0.413,0.2917,0.3945,0.305,0.429,0.307,0.307,0.4725,1.244,,,,,,1.333,2024.75,,11.633,10.3,2036.3,2025.0,1.407,1.365,0.042,8.0,6.0,0.0,2.0,1.0,59.615025875,2.407374375,2136.0,2255.6,2177.5,2631.1,119.3,2177.5,222.7,222.7,101.8,False,78.2,35.2,1.0987125544448864,0.005187618687118549,14.99,0.0,14.99,0.0,6.18,0.0,6.18,4.03,0.08,0.5,652.0,,0.0
ULA,114,NORTH,producing,oil,019,Aker BP ASA,False,Ula produces oil mainly from sandstone in the Upper Jurassic Ula Formation. The reservoir is at a depth of 3345 metres and consists of three units. There is also production from part of the underlying Triassic reservoir at a depth of 3450 metres. This is a tight sandstone reservoir with low effective permeability.,"Ula is a field in the southern part of the Norwegian sector in the North Sea. The water depth is 70 metres. Ula was discovered in 1976, and the plan for development and operation (PDO) was approved in 1980. The development consists of three facilities for production, drilling and accommodation, which are connected by bridges. The production started in 1986. The gas capacity at Ula was upgraded in 2008 with a new gas processing and gas injection module (UGU) that doubled the capacity. A PDO exemption for the Triassic reservoir was granted in 2015. Ula is the processing facility for the Tambar, Blane and Oda fields.",Vestland,Ula,clastic,"Oil was initially recovered by pressure depletion, but after some years water injection was implemented to improve recovery. Water alternating gas injection (WAG) started in 1998. The WAG program has been extended with gas from the tied-in Tambar, Blane and Oda fields. Gas lift is used in some of the wells.",https://factpages.sodir.no/field/pageview/all/43800,1.0,78.06,3.85,5.79,87.71,0.41,0.0,0.04,0.44,158.19,15.59,7.71,15.59,0.0,197.08,0.84,0.0,0.493,0.505,0.247,0.445,0.995,1.0,0.995,0.995,1.6261,3.8227,6.5595,11.067,22.8409,28.9868,41.667,39.167,1986.833,1.1,,2.5,2028.5,1993.0,8.335,7.863,0.472,43.0,29.0,13.0,1.0,0.0,57.111472116279074,2.847479906976744,3348.3,3587.1,3598.0,3821.0,69.2,3598.0,367.3,526.8,146.1,True,124.3,98.6,1.2907397250235644,0.003217561458898696,204.18,0.0,204.18,0.0,103.2,0.0,103.2,79.25,2.64,1.84,768.0,2916.0,0.0
URD,115,NORWEGIAN,producing,oil,128,Equinor Energy AS,False,"Urd produces oil from Lower to Middle Jurassic sandstone in the Åre, Tilje and Ile Formations. The field is structurally complex and segmented. The reservoirs are at depths of 1800-2300 metres and have moderate to good quality.","Urd is a field in the Norwegian Sea, five kilometres northeast of the Norne field. The water depth is 380 metres. Urd was discovered in 2000, and the plan for development and operation (PDO) was approved in 2004. The field has three deposits: Svale, Svale North and Stær. The Urd field has been developed with subsea templates tied-back to the Norne production, storage and offloading vessel (FPSO). The production started in 2005 from Svale, from Stær in 2006 and from Svale North in 2016.","Båt, Fangst","Åre, Tilje, Ile",clastic,The field is produced by water injection and gas lift.,https://factpages.sodir.no/field/pageview/all/2834734,1.0,9.13,0.29,0.08,9.5,0.96,0.0,0.0,0.96,49.29,2.62,0.0,2.62,0.0,54.53,0.9,0.0,0.185,0.187,0.1107,0.1742,0.895,1.0,0.896,0.899,0.513,1.3778,5.7928,12.3582,,,,19.333,2005.917,8.4,26.267,6.767,2032.767,2006.0,2.132,2.063,0.069,19.0,10.0,8.0,1.0,1.0,66.07187810526315,8.233417263157895,1699.0,2048.2,1953.0,2761.0,376.6,1953.0,199.8,199.8,101.8,False,70.9,53.2,1.131762400101091,0.005547841819858614,55.78,0.0,55.78,0.0,10.42,0.0,10.42,6.8,0.13,0.36,653.0,1018.0,0.0
UTGARD,116,NORTH,producing,gas,UTGARD UNIT,Equinor Energy AS,False,Utgard produces gas with high CO2 content and some condensate mainly from sandstone of Middle Jurassic age in the Hugin Formation. Minor hydrocarbon volumes occur in the Sleipner Formation. The field consists of two main segments (west and east) which are in pressure communication via the aquifer. The main reservoirs are at a depth of 3700 metres.,"Utgard is a field in the central part of the Norwegian sector in the North Sea, on the border between Norway and the United Kingdom. The Norwegian share of the field is 62 per cent. Utgard is located 20 kilometres west of the Sleipner area. The water depth is 110-120 metres. The field was discovered in 1982 and the plan for development and operation (PDO) was approved in 2017. The development concept is a 4-slot subsea template with two wells tied-back to the Sleipner T facility for processing and reduction of the CO2 level in the gas. The subsea template is located in the Norwegian sector. The production started in 2019.",Vestland,Hugin,clastic,Utgard is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/28975098,0.62,1.08,1.35,0.32,2.75,0.1,0.26,0.02,0.38,0.0,4.97,6.43,0.0,4.97,11.4,0.56,0.436,,0.218,0.2716,0.2412,,0.807,0.915,0.862,0.2319,0.5602,1.7048,4.7523,,,,6.25,2019.75,2.1,10.215,3.965,2029.965,2020.0,0.767,0.45,0.316,3.0,3.0,0.0,0.0,1.0,58.366696,1.550542,3745.0,3874.0,3751.0,4126.0,115.0,3751.0,382.9,382.9,101.8,False,129.3,,0.0,0.004021513603021317,0.0,19.99,19.99,1.0,0.0,5.43,5.43,3.52,0.11,1.89,649.0,4463.0,0.0
VALE,117,NORTH,shut down,gas,,Aker BP ASA,False,Vale produced gas and condensate from Middle Jurassic sandstone in the Brent Group. The reservoir is at a depth of 3700 metres and has low permeability.,"Vale is a field in the central part of the North Sea, 16 kilometres north of the Heimdal field. The water depth is 115 metres. Vale was discovered in 1991, and the plan for development and operation (PDO) was approved in 2001. The field was developed with a subsea template including one horizontal production well with a single side track, tied-back to the Heimdal facility. The production started in 2002.",Brent,Brent,clastic,The field was produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/1578893,1.0,2.82,2.51,0.0,5.33,0.0,0.0,0.0,0.0,0.0,8.3,10.0,0.0,8.3,18.3,0.55,0.454,,0.282,0.3024,0.2913,,1.0,1.0,1.0,2.2928,5.0899,9.0028,12.2645,14.9892,15.8323,16.8333,16.833,2002.5,0.0,,0.0,2023.75,2015.0,0.56,0.267,0.292,2.0,2.0,0.0,0.0,1.0,59.706231,2.310508,3767.0,3825.0,3825.0,3883.0,115.0,3825.0,390.4,532.2,138.9,True,131.7,,0.0,0.003258339662754232,0.0,27.04,27.04,1.0,0.0,8.18,8.18,6.15,0.21,3.08,752.0,3017.0,0.0
VALEMON,118,NORTH,producing,gas,VALEMON UNIT,Equinor Energy AS,False,Valemon produces gas and condensate from Lower Jurassic sandstone in the Cook Formation and Middle Jurassic sandstone in the Brent Group. The deposit has a complex structure with many fault blocks. The reservoirs are at depths of 3900-4200 metres and have high temperature and high pressure (HTHP).,"Valemon is a field in the northern part of the North Sea, just west of the Kvitebjørn field. The water depth is 135 metres. Valemon was discovered in 1985, and the plan for development and operation (PDO) was approved in 2011. The field is developed with a fixed production platform with a simplified separation process design. The platform is remotely controlled from an operations centre onshore. The production started in 2015.","Brent, Dunlin",Cook,clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/20460969,1.0,2.11,15.69,0.3,18.1,0.09,1.17,0.04,1.3,0.0,61.2,12.92,0.0,61.2,74.12,0.17,0.826,,0.187,0.2564,0.2442,,0.925,0.947,0.928,1.0054,1.8283,3.4392,6.2173,10.5996,,,11.0,2015.083,2.7,15.678,4.678,2030.678,2016.0,3.308,0.463,2.846,19.0,18.0,1.0,0.0,0.0,61.040788,2.3388715263157893,1003.8,4100.6,4284.0,4612.3,133.5,4284.0,437.1,584.1,136.1,True,146.5,,0.0,0.003195676094289077,0.0,195.58,195.58,1.0,0.0,50.14,50.14,37.39,1.33,1.97,746.0,3253.0,0.0
VALHALL,119,NORTH,producing,oil,VALHALL UNIT,Aker BP ASA,False,Valhall produces oil from chalk in the Upper Cretaceous Hod and Tor Formations. The reservoir depth is 2400 metres. The Tor Formation chalk is fine-grained and has good reservoir quality. Considerable fracturing allows oil and water to flow more easily than in the underlying Hod Formation.,"Valhall is a field in the southern part of the Norwegian sector in the North Sea. The water depth is 70 metres. Valhall was discovered in 1975, and the initial plan for development and operation (PDO) was approved in 1977. The field was originally developed with three facilities for accommodation (QP), drilling (DP), and processing and compression (PCP). The production started in 1982. A PDO for a wellhead facility (WP) was approved in 1995 and for a water injection platform (IP) in 2000. Bridges connect the platforms. A PDO for two wellhead platforms on the northern and southern flanks was approved in 2001. A PDO for Valhall Redevelopment was approved in 2007. The plan included an accommodation and processing platform (PH) to replace aging facilities on the field. The PH-platform is supplied with power from shore. A PDO for Valhall Flank West which included a normally unmanned wellhead platform was approved in 2018, and the production started in 2019. An amended PDO for a new production and wellhead platform (PWP) was approved in June 2023.",Shetland,"Hod, Tor",carbonate,The field was initially produced with pressure depletion and compaction drive. Water injection in the centre of the field started in 2004. Chalk compaction as a result of pressure depletion and water weakening has led to seabed subsidence. Gas lift is used to optimise production in most of the production wells.,https://factpages.sodir.no/field/pageview/all/43548,1.0,156.43,30.08,11.97,198.48,25.88,4.98,1.92,32.76,370.5,74.8,0.0,74.8,0.0,520.1,0.71,0.0,0.422,0.455,0.4021,0.3816,0.835,0.834,0.835,0.835,5.9806,12.0271,21.0228,36.538,,,,42.75,1982.833,13.3,68.418,25.668,2051.668,1999.0,6.605,5.568,1.036,169.0,158.0,10.0,1.0,0.0,56.27569337278106,3.391579402366864,511.5,2541.7,2563.4,2935.7,70.0,2563.4,262.0,449.0,174.8,True,90.7,201.9,1.5285520011650475,0.0032208363413788817,566.33,0.0,566.33,0.0,257.41,0.0,257.41,210.57,6.22,1.25,818.0,579.0,0.0
VARG,120,NORTH,shut down,oil,,Repsol Norge AS,False,Varg produced oil mainly from Upper Jurassic sandstone in the Ula Formation. The reservoir is at a depth of about 2700 metres. The structure is segmented and includes several isolated compartments with varying reservoir properties.,"Varg is a field in the central part of the North Sea, south of the Sleipner Øst field. The water depth is 85 metres. Varg was discovered in 1984, and the plan for development and operation (PDO) was approved in 1996. The field was developed with a production vessel, Petrojarl Varg, which had integrated oil storage and was connected to the wellhead facility Varg A. The production started in 1998.",Vestland,Ula,clastic,The field was produced with pressure maintenance using water and gas injection. The smaller structures were produced by pressure depletion. All wells were produced with gas lift.,https://factpages.sodir.no/field/pageview/all/43451,1.0,16.33,0.3,0.06,16.69,0.0,0.0,0.0,0.0,42.54,5.48,0.0,5.48,0.0,53.5,0.8,0.0,0.384,0.385,0.0547,0.312,1.0,1.0,1.0,1.0,0.953,2.4296,6.6232,11.4084,14.0463,15.6706,17.5833,17.583,1999.0,0.0,,0.0,2016.5,1999.0,1.743,1.743,0.0,31.0,24.0,7.0,0.0,0.0,58.07791138709677,1.8904763548387105,2738.8,3002.0,3007.0,3378.3,84.0,3007.0,307.1,307.1,101.8,False,105.1,128.8,1.3498484947979874,0.0043946570417500615,57.42,0.0,57.42,0.0,22.12,0.0,22.12,14.38,0.38,0.46,650.0,2130.0,0.0
VEGA,121,NORTH,producing,gas/oil,VEGA UNIT,Harbour Energy Norge AS,False,"Vega produces gas and condensate from Middle Jurassic shallow marine sandstone in the Brent Group. Vega Sør additionally has an oil zone overlying the gas/condensate deposit. The reservoirs are at a depth of 3500 metres, and the quality varies from poor to medium across the field.","Vega is a field in the northern part of the North Sea, 30 kilometres west of the Gjøa field. The water depth is 370 metres. Vega was discovered in 1981. The field consists of three separate structures: Vega Nord, Vega Sentral and Vega Sør. The plan for development and operation (PDO) for Vega Nord and Vega Sentral was approved in 2007. In 2011, the field was unitised with Vega Sør. The field has been developed with three 4-slot subsea templates, one on each structure. They are tied to the processing facility on the Gjøa platform. A total of nine production wells have been drilled. The production started in 2010.",Brent,Brent,clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/4467595,1.0,10.56,25.47,11.38,47.4,1.03,4.57,1.37,6.97,3.6,50.1,32.7,2.0,48.1,88.4,0.41,0.544,2.933,0.604,0.5084,0.5362,0.902,0.821,0.891,0.853,2.1592,4.4316,8.3498,12.9682,,,,15.083,2011.0,2.8,24.275,9.192,2035.192,2014.0,4.015,2.349,1.666,12.0,11.0,0.0,1.0,1.0,61.24336933333334,3.3962640000000004,3408.0,3622.0,3610.5,4113.0,373.7,3610.5,368.6,550.0,152.1,True,124.7,555.6,2.473854008633126,0.0031413310662120474,8.91,151.1,160.0,0.94,5.38,76.82,82.2,64.08,2.17,5.34,780.0,4249.0,0.0
VERDANDE,122,NORWEGIAN,producing,oil/gas,VERDANDE UNIT,Equinor Energy AS,False,The reservoir contains oil and gas in sandstone of Early Cretaceous age in the Lange Formation. It is at a depth of about 3000 metres and has good quality.,"Verdande is a field in the Norwegian Sea, 10 kilometres north of the Norne field. The water depth is 380 metres. Verdande was discovered in 2017, and the plan for development and operation (PDO) was approved in 2023. The development concept includes a subsea template with three production wells tied-back to the Norne floating production, storage and offloading vessel (FPSO).",Cromer Knoll,Lange,clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/42002481,1.0,5.67,1.3,0.11,7.09,5.46,1.29,0.11,6.85,39.2,6.380000000000001,0.0,4.4,1.98,49.98,0.78,0.04,0.145,0.148,0.2038,0.1419,0.037,0.008,0.036,0.034,,,,,,,,0.083,2026.0,,11.916,11.833,2037.833,2026.0,0.81,0.745,0.066,4.0,0.0,0.0,0.0,1.0,66.09477849999999,8.0698165,3114.0,3270.0,3264.0,3437.0,373.0,3000.0,333.3,433.4,144.1,True,104.9,112.2,1.3067367562055556,0.003436085540334961,51.22,6.8,58.03,0.12,7.56,1.39,8.95,6.84,0.2,1.71,765.0,,0.0
VESLEFRIKK,123,NORTH,shut down,oil/gas,052,Equinor Energy AS,False,"Veslefrikk produced oil and some gas from Jurassic sandstone in the Statfjord, Dunlin and Brent Groups. The main reservoir was in the Brent Group. The reservoir depths are between 2800 and 3200 metres.","Veslefrikk is a field in the northern part of the North Sea, 30 kilometres north of the Oseberg field. The water depth is 185 metres. Veslefrikk was discovered in 1981, and the plan for development and operation (PDO) was approved in 1987. The field was developed with two facilities, Veslefrikk A and Veslefrikk B. Veslefrikk A is a fixed steel wellhead facility with bridge connection to Veslefrikk B. Veslefrikk B is a semi-submersible facility for processing and accommodation. The production started in 1989. In 1994, PDOs were approved for the Statfjord reservoir and for the reservoirs in the Upper Brent and I-segment. PDO exemptions were granted for the development of several discoveries in the years 1994-2002.","Statfjord, Dunlin, Brent",Brent,clastic,Veslefrikk had earlier been produced with pressure support from water alternating gas injection (WAG) in the Brent and Dunlin reservoirs and with gas recycling in the Statfjord reservoir. The field was subsequently produced by depletion until shut-in.,https://factpages.sodir.no/field/pageview/all/43618,1.0,55.34,4.19,3.44,62.97,0.0,0.0,0.0,0.0,120.6,20.599999999999998,2.9,16.9,3.7,161.0,0.77,0.023,0.459,0.476,0.2034,0.3911,1.0,1.0,1.0,1.0,1.9377,4.1515,7.6009,13.3988,22.0225,25.7584,32.0,32.0,1990.0,0.0,,0.0,2022.167,1995.0,5.122,4.715,0.408,62.0,42.0,20.0,0.0,0.0,60.78274088709678,2.8978540645161286,2689.1,3143.7,3159.0,4105.0,175.0,3159.0,322.6,457.0,144.3,True,110.0,140.1,1.3842192126664024,0.003373370312259118,166.94,12.48,179.42,0.07,79.45,2.54,81.99,62.73,1.93,1.01,765.0,1496.0,0.0
VEST EKOFISK,124,NORTH,approved,gas/oil,018 F,ConocoPhillips Skandinavia AS,False,The reservoir contains gas and condensate from fractured chalk of Late Cretaceous age in the Tor Formation and of early Paleocene age in the Ekofisk Formation. The reservoir is at a depth of 3200 metres above a salt dome.,"Vest Ekofisk is a field in the southern part of the Norwegian sector in the North Sea, five kilometres west of the Ekofisk field. The water depth is 70 metres. Vest Ekofisk was discovered in 1970. The original plan for development and operation (PDO) was approved in 1973, and production started in 1977. The field was developed with a combined drilling, production and living quarters facility. Vest Ekofisk was shut down in 1998, and the facility was removed in 2012. A PDO for the redevelopment of Vest Ekofisk was approved in 2026. The development concept includes a subsea template with three wells tied back to the Ekofisk Centre.",Shetland,"Tor, Ekofisk",carbonate,The field will be produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/43513,1.0,12.15,25.97,2.91,41.04,0.0,0.0,0.0,0.0,60.2,42.4,0.0,0.0,42.4,102.6,0.59,0.413,0.202,0.25,0.6125,0.4,1.0,1.0,1.0,1.0,0.7767,1.5491,3.6225,8.3923,12.3031,15.5379,21.0,21.0,1977.417,,,,,1978.0,8.193,3.847,4.346,19.0,19.0,0.0,0.0,0.0,56.56307357894737,3.08570947368421,3320.2,3372.3,3348.6,3781.3,71.0,3348.6,341.9,502.8,149.9,True,116.2,276.5,1.7531207960951551,0.0032383159494651734,105.54,137.3,242.84,0.56,26.4,84.1,110.5,85.7,2.77,4.51,776.0,,0.0
VIGDIS,125,NORTH,producing,oil,089,Equinor Energy AS,False,"Vigdis produces oil from sandstone in several structures. The reservoirs in Vigdis Brent and Lomre are in the Middle Jurassic Brent Group, while the reservoirs in Vigdis Øst-Nordøst are in the Upper Triassic and Lower Jurassic Statfjord Group. The Borg Nordvest reservoir is in Upper Jurassic intra-Draupne sandstone. The reservoirs are at depths of 2200-2600 metres and have generally good quality.","Vigdis is a field in the Tampen area in the northern part of the North Sea, between the Snorre, Statfjord and Gullfaks fields. The water depth is 280 metres. Vigdis was discovered in 1986, and the plan for development and operation (PDO) was approved in 1994. Vigdis comprises four structures: Vigdis Brent, Borg Nordvest, Vigdis Øst-Nordøst and Lomre. The Vigdis Brent structure includes several substructures. The field has been developed with seven subsea templates and two satellite wells connected to the Snorre A facility. The production started in 1997. Oil from Vigdis is processed in a dedicated processing module on Snorre A. Injection water is supplied from Snorre A and Statfjord C.  A PDO for Vigdis Extension, including the discovery 34/7-23 S and adjoining deposits, was approved in 2002. The PDO for Vigdis Nordøst was approved in 2011. A PDO exemption was granted for Lomre in 2022.","Statfjord, Brent, Viking",Brent,clastic,The field is produced by pressure support using water injection. Some of the reservoirs are affected by pressure depletion on the Statfjord field.,https://factpages.sodir.no/field/pageview/all/43732,1.0,76.32,1.71,2.64,80.67,6.43,0.0,0.0,6.43,153.67,13.05,0.0,13.05,0.0,179.77,0.86,0.0,0.497,0.514,0.131,0.4487,0.916,1.0,0.919,0.92,2.1766,4.8931,10.0781,18.1524,27.2819,,,28.5,1997.083,6.2,40.997,12.497,2038.497,1999.0,5.109,5.109,0.0,45.0,30.0,13.0,2.0,1.0,61.37491286666667,2.100597733333333,2345.0,2529.9,2492.0,3088.0,274.9,2492.0,254.7,381.6,152.7,True,88.4,84.9,1.2222327891466842,0.0035408691010363836,187.82,0.0,187.82,0.0,96.51,0.0,96.51,75.5,2.05,1.68,782.0,2445.0,0.0
